Gender,Hometown,Live,Greek_,HrsWork,ParntsMar,GPA,SitArea,SkipClass,TextSpd,HrsStudy,CheatEx,Organztns,Relimport,RelPref,RelServs,TimesPray,DiffRel_,Abortion,Euthanasia,SameMarr,Weight,Height,IdlWt,IdlHt,ViewWt,WtTry,SelfAttr,MakeFrnds,ImportFeat,PeopKiss,LongRels,AgeMarry,v1st_child,Children,Siblings,HrsExer,MinsExer,SmokeCig,HrsSleep,ExerReason,FitnMemb,FakeID,DaysAlco,SmokedMJ,LegalMJ_,DrnksUsl,BingeDrk,Virgin,SexNoRel,CheatdSO,CheatTel,SexPartns,UsePtotn
Male  ,Suburban    ,Dorm               ,No ,None      ,Married            ,2.8,Front ,0,300,8,No ,1,Fairly Important,Catholic  ,NA,NA,Not sure,NA,NA,Yes     ,170,60,180,62,NA,Gain         ,Yes   ,Same gender    ,Personality    ,30,NA,26,27,3,1,6.5,60,No ,NA,Enjoyment     ,No ,No ,8,Yes,No ,5 or 6,8,No ,Yes,No ,No ,NA,Yes
Female,Suburban    ,Dorm               ,Yes,None      ,Divorced           ,2,Middle,2,500,12,No ,3,Not important   ,Catholic  ,0,0,Yes     ,Yes,Yes,No      ,115,60,100,63,Overweight ,Lose         ,No    ,No preference  ,NA,12,3,24,25,3,1,2,60,Yes,8.5,Weight control,Yes,Yes,13,Yes,Yes,5 or 6,13,No ,Yes,Yes,No ,9,No 
Female,NA,Dorm               ,No ,None      ,Married            ,2.17,NA,0,350,5,No ,0,NA,NA,0,0,Yes     ,NA,No ,Not sure,90,60,105,64,Underweight,Gain         ,Yes   ,Opposite gender,NA,15,4,23,24,2,2,0,0,Yes,8,Don't exercise,NA,NA,10,No ,Yes,5 or 6,0,No ,No ,NA,Yes,4,Yes
Female,A big city  ,Apartment          ,No ,1 to 10   ,Married            ,3.82,Front ,0,350,10,No ,5,Very important  ,Catholic  ,2,14,Yes     ,Yes,No ,Yes     ,140,60,125,64,About right,Lose         ,Yes   ,Opposite gender,Trust          ,19,2,24,27,4,1,5,30,No ,7,Reduce stress ,Yes,No ,4,No ,Yes,1 or 2,1,No ,No ,No ,Yes,4,No 
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.69,NA,0,400,10,No ,2,Not important   ,Other     ,0,1,Yes     ,Yes,Yes,Not sure,120,60,110,65,About right,Stay the same,Yes   ,Same gender    ,Sense of humor ,10,1,29,30,2,1,5,45,Yes,8,Health        ,Yes,No ,2,No ,No ,1 or 2,0,No ,Yes,Yes,Yes,1,Yes
Female,A small town,Dorm               ,No ,None      ,Married            ,3.22,Middle,0,384,28,No ,4,Not important   ,Jewish    ,5,0,No      ,Yes,Yes,Yes     ,125,60,110,60,Overweight ,Lose         ,Unsure,Same gender    ,NA,24,4,24,26,4,1,1.5,60,Yes,8,Weight control,Yes,Yes,15,Yes,Yes,7 or 8,5,No ,Yes,Yes,Yes,12,No 
Female,A big city  ,Dorm               ,No ,None      ,Divorced           ,3,Front ,0,300,16,No ,3,Very important  ,Other     ,1,7,No      ,Yes,No ,No      ,125,60,120,64,About right,Lose         ,Yes   ,Opposite gender,NA,10,1,25,26,2,1,14,75,No ,6,Weight control,Yes,No ,2,No ,No ,1 or 2,0,No ,No ,No ,Yes,1,No 
Male  ,A big city  ,Apartment          ,No ,None      ,Married            ,2.8,Front ,1,500,4,No ,0,Fairly Important,Catholic  ,1,1,Not sure,No ,Yes,Yes     ,160,60,150,80,Overweight ,Gain         ,Yes   ,Same gender    ,Looks          ,1,1,NA,NA,0,1,1,15,Yes,NA,Socialize     ,No ,Yes,1,Yes,Yes,3 or 4,NA,No ,Yes,Yes,No ,1,No 
Male  ,Suburban    ,Dorm               ,No ,None      ,Married            ,3.68,Front ,0,NA,25,No ,2,Very important  ,Protestant,4,20,No      ,No ,No ,Not sure,145,60,170,64,Underweight,Gain         ,Yes   ,Opposite gender,Other          ,NA,2,23,28,2,1,2,30,No ,6.5,Get muscular  ,Yes,No ,0,No ,No ,0,0,Yes,No ,No ,Yes,NA,NA
Female,Suburban    ,Apartment          ,No ,None      ,Married            ,2.88,Back  ,1,500,12,Yes,4,Not important   ,Atheist   ,0,0,Yes     ,Yes,Yes,Not sure,125,60,105,65,Overweight ,Lose         ,No    ,Same gender    ,Sense of humor ,NA,0,26,30,2,2,4,90,No ,5,Get muscular  ,Yes,No ,9,Yes,Yes,5 or 6,7,No ,Yes,No ,Yes,7,No 
Female,NA,Soror or Frat House,Yes,None      ,Divorced           ,3.15,Middle,0,325,5,No ,1,Not important   ,Agnostic  ,0,0,Yes     ,Yes,No ,No      ,120,60,110,65,Overweight ,Lose         ,Yes   ,No preference  ,Trust          ,20,2,25,28,3,2,2,30,No ,7.5,Weight control,Yes,No ,12,Yes,No ,1 or 2,0,No ,Yes,Yes,Yes,6,Yes
Female,Suburban    ,Apartment          ,No ,11 to 20  ,Married            ,3.74,Front ,0,400,25,No ,1,Fairly Important,Catholic  ,2,1,Yes     ,No ,Yes,No      ,115,60,110,64,About right,Lose         ,Yes   ,Opposite gender,Trust          ,6,1,24,25,3,1,7,60,No ,7,Weight control,Yes,Yes,13,Yes,Yes,3 or 4,4,No ,Yes,No ,Yes,6,No 
Female,Rural       ,At home            ,No ,11 to 20  ,Married            ,3.2,Middle,0,270,20,No ,2,Fairly Important,Other     ,0,3,Yes     ,Yes,No ,Not sure,120,60,105,63,Overweight ,Lose         ,Unsure,No preference  ,Trust          ,6,3,26,27,3,1,2,30,No ,6.5,Reduce stress ,No ,No ,2,No ,No ,1 or 2,0,No ,No ,Yes,Yes,3,No 
Female,A small town,Apartment          ,No ,None      ,Other or Don't Know,3.4,Middle,NA,300,6,Yes,NA,Fairly Important,Protestant,NA,NA,Yes     ,No ,Yes,Yes     ,118,60,118,60,About right,Stay the same,Yes   ,Opposite gender,Trust          ,30,3,25,26,2,2,2,60,No ,8,Reduce stress ,Yes,No ,12,Yes,Yes,5 or 6,3,No ,Yes,Yes,Yes,3,No 
Female,Suburban    ,Apartment          ,No ,NA,Married            ,3.04,Front ,0,300,4,No ,2,Fairly Important,Other     ,10,7,Yes     ,Yes,Yes,Yes     ,98,60,107,64,About right,Stay the same,Yes   ,Opposite gender,Trust          ,5,2,24,28,2,2,3.5,30,No ,8,Health        ,No ,No ,3,No ,Yes,1 or 2,0,No ,No ,No ,Yes,3,No 
Female,Suburban    ,Dorm               ,No ,11 to 20  ,NA,1.67,Front ,0,300,12,No ,5,Very important  ,Other     ,4,3,No      ,Yes,Yes,No      ,117,60,110,60,About right,Lose         ,Yes   ,No preference  ,Personality    ,4,2,26,27,5,0,6,120,No ,8,Weight control,Yes,No ,3,Yes,Yes,1 or 2,0,No ,No ,Yes,Yes,2,Yes
Female,A small town,At home            ,No ,1 to 10   ,Divorced           ,2.15,Back  ,0,350,6,No ,0,Not important   ,Protestant,0,0,Not sure,Yes,No ,No      ,110,60,105,63,About right,Lose         ,Yes   ,Opposite gender,Personality    ,6,2,26,26,4,3,1,30,No ,8,Weight control,No ,No ,4,Yes,No ,3 or 4,1,No ,No ,No ,Yes,2,No 
Female,NA,Apartment          ,No ,NA,Other or Don't Know,2.3,Middle,NA,300,5,No ,1,Fairly Important,Catholic  ,0,7,NA,Yes,Yes,No      ,120,60,110,63,About right,NA,Unsure,NA,Trust          ,25,3,27,28,3,0,0,0,Yes,7.5,Weight control,NA,Yes,9,NA,NA,5 or 6,9,No ,Yes,Yes,NA,2,NA
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.19,Middle,1,500,35,No ,1,Fairly Important,Protestant,4,7,Not sure,Yes,Yes,Yes     ,100,60,105,63,Underweight,Gain         ,Unsure,No preference  ,Easy to talk to,15,1,24,26,2,1,2,45,No ,8,Weight control,Yes,No ,7,No ,No ,5 or 6,4,No ,No ,No ,Yes,1,Yes
Female,Suburban    ,Soror or Frat House,Yes,None      ,Married            ,3.92,Front ,0,400,25,No ,2,Fairly Important,Other     ,1,1,Yes     ,Yes,Yes,Yes     ,116,60,110,64,About right,Stay the same,Yes   ,Same gender    ,NA,4,3,25,27,3,1,5,45,No ,7.5,Weight control,Yes,No ,8,No ,No ,3 or 4,1,No ,No ,No ,Yes,1,Yes
Female,A big city  ,Apartment          ,No ,None      ,Married            ,3.85,Front ,0,500,15,Yes,0,Not important   ,Catholic  ,2,1,Not sure,Yes,Yes,No      ,100,60,95,60,Underweight,Stay the same,Yes   ,Same gender    ,Personality    ,5,NA,28,30,2,3,0,0,No ,8,Health        ,Yes,No ,3,No ,No ,0,0,No ,No ,No ,NA,1,Yes
Female,A small town,Apartment          ,No ,>20       ,Married            ,3.65,Front ,0,300,12,No ,1,Very important  ,Catholic  ,4,3,Yes     ,No ,No ,No      ,124,60,115,60,Overweight ,Lose         ,Unsure,Opposite gender,Easy to talk to,5,2,23,25,2,3,5,60,No ,5.5,Get muscular  ,Yes,No ,8,No ,No ,5 or 6,6,No ,No ,No ,Yes,1,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Divorced           ,3.68,Middle,0,500,15,No ,0,Not important   ,Other     ,0,7,Yes     ,Yes,Yes,No      ,110,60,105,64,Overweight ,Lose         ,Yes   ,Opposite gender,Sense of humor ,3,1,25,28,4,1,6,60,No ,7,Weight control,Yes,No ,8,No ,Yes,3 or 4,2,No ,No ,No ,Yes,1,No 
Female,Rural       ,Dorm               ,No ,None      ,Divorced           ,3.6,Middle,0,90,21,Yes,2,Very important  ,Other     ,2,0,No      ,Yes,Yes,No      ,120,60,100,64,Overweight ,Lose         ,Yes   ,No preference  ,Personality    ,0,0,22,25,3,2,0,30,No ,7,Weight control,Yes,No ,0,No ,Yes,0,0,Yes,No ,No ,NA,0,NA
Male  ,Rural       ,NA,No ,None      ,Other or Don't Know,3.2,Middle,0,400,25,No ,2,Fairly Important,Catholic  ,2,5,Yes     ,Yes,No ,Yes     ,150,60,160,65,About right,Gain         ,Yes   ,No preference  ,Sense of humor ,8,3,34,35,2,4,6,75,No ,8,Enjoyment     ,Yes,No ,10,No ,No ,3 or 4,0,Yes,No ,Yes,Yes,0,Yes
Female,A small town,Dorm               ,No ,None      ,Married            ,3.23,Front ,0,400,30,No ,0,Not important   ,Catholic  ,0,0,Not sure,Yes,No ,Yes     ,110,60,100,60,About right,Stay the same,No    ,Same gender    ,Trust          ,0,8,26,26,2,1,0,30,No ,6,Don't exercise,No ,No ,0,No ,No ,1 or 2,1,Yes,No ,No ,Yes,0,Yes
Female,Rural       ,Apartment          ,No ,None      ,Married            ,3.92,Middle,0,400,20,No ,0,Fairly Important,Protestant,3,7,Yes     ,No ,Yes,No      ,160,60,140,60,Overweight ,Lose         ,No    ,Same gender    ,NA,1,0,25,27,3,2,4,60,No ,6.5,Health        ,No ,No ,8,No ,No ,3 or 4,4,Yes,No ,Yes,Yes,0,Yes
Male  ,Suburban    ,Dorm               ,No ,None      ,Married            ,4,Front ,0,340,35,No ,2,Not important   ,Atheist   ,0,0,Yes     ,Yes,Yes,Yes     ,125,60.5,145,62,Underweight,Gain         ,Unsure,Opposite gender,Personality    ,0,1,27,30,2,2,2.5,45,No ,7,Health        ,No ,No ,0,No ,Yes,1 or 2,0,Yes,No ,No ,No ,0,NA
Female,Suburban    ,Dorm               ,Yes,None      ,Married            ,3.2,Middle,0,300,2,Yes,1,Fairly Important,Jewish    ,0,0,Yes     ,Yes,Yes,Yes     ,105,61,100,61,About right,Stay the same,Yes   ,Opposite gender,Personality    ,NA,1,24,25,3,3,1,45,No ,6,Health        ,Yes,No ,NA,Yes,No ,3 or 4,NA,No ,Yes,Yes,Yes,6,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,2.74,Back  ,0,300,20,Yes,1,Fairly Important,Catholic  ,0,10,Not sure,Yes,Yes,Yes     ,140,61,118,65,Overweight ,Lose         ,Yes   ,No preference  ,Easy to talk to,25,2,26,28,3,2,5,45,No ,9,Weight control,Yes,Yes,9,Yes,Yes,>8    ,9,No ,Yes,Yes,Yes,2,NA
Female,Suburban    ,Dorm               ,No ,None      ,Other or Don't Know,2.4,Middle,NA,250,6,No ,0,Not important   ,Agnostic  ,0,0,Yes     ,Yes,Yes,No      ,106,61,106,64,About right,Nothing      ,Yes   ,Opposite gender,Easy to talk to,60,4,25,35,2,1,0,0,Yes,8,Don't exercise,No ,No ,8,Yes,Yes,3 or 4,3,No ,No ,Yes,Yes,23,No 
Female,A big city  ,Apartment          ,No ,>20       ,Married            ,2.8,Front ,0,150,15,No ,0,Not important   ,Protestant,0,1,No      ,Yes,No ,No      ,145,61,125,68,Overweight ,Lose         ,Yes   ,Same gender    ,Sense of humor ,6,3,30,30,6,2,6,75,No ,7,Get muscular  ,Yes,No ,2,Yes,No ,0,1,No ,No ,No ,Yes,4,No 
Female,Rural       ,Apartment          ,No ,11 to 20  ,Married            ,NA,Middle,0,300,15,No ,0,NA,Catholic  ,0,0,Yes     ,Yes,Yes,No      ,165,61,130,65,Overweight ,NA,Yes   ,Opposite gender,NA,5,2,26,25,4,1,0.5,0,No ,10,Weight control,No ,No ,15,No ,Yes,1 or 2,0,Yes,No ,No ,Yes,0,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Married            ,2.91,Middle,1,70,10,Yes,2,Not important   ,Catholic  ,0,0,No      ,Yes,No ,Not sure,108,61,100,65,About right,Lose         ,Yes   ,No preference  ,Personality    ,18,2,26,30,2,3,2,30,No ,9,Weight control,Yes,Yes,12,No ,No ,3 or 4,12,No ,Yes,Yes,No ,4,No 
Female,A big city  ,Dorm               ,No ,11 to 20  ,Married            ,2.8,Middle,1,500,25,No ,2,Not important   ,Protestant,0,0,Yes     ,Yes,Yes,No      ,125,61,115,63,About right,Lose         ,Yes   ,Opposite gender,Easy to talk to,20,3,23,24,3,1,5,30,No ,7,Weight control,Yes,Yes,5,Yes,Yes,7 or 8,5,No ,Yes,Yes,Yes,3,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Divorced           ,3.96,Front ,1,380,20,No ,2,Very important  ,Protestant,1,14,No      ,Yes,Yes,No      ,125,61,120,63,About right,Stay the same,Yes   ,No preference  ,Trust          ,5,2,24,25,2,1,2,30,No ,7,Health        ,No ,No ,6,No ,No ,3 or 4,0,No ,No ,No ,Yes,2,Yes
Female,Suburban    ,Apartment          ,No ,1 to 10   ,Married            ,3,Front ,0,500,15,No ,3,Very important  ,Protestant,6,NA,No      ,Yes,Yes,Yes     ,120,61,110,60,About right,Lose         ,Yes   ,No preference  ,Personality    ,3,2,22,26,4,1,4,60,No ,8,Weight control,Yes,No ,3,No ,NA,1 or 2,0,No ,No ,No ,Yes,1,Yes
Female,Suburban    ,Apartment          ,No ,NA,Married            ,3.6,Back  ,NA,250,7,No ,0,Very important  ,Other     ,2,35,No      ,No ,No ,Yes     ,162,61,114,61,Overweight ,Lose         ,No    ,Same gender    ,Easy to talk to,1,2,16,18,3,5,3,45,No ,8,Weight control,No ,No ,0,No ,No ,0,0,No ,No ,No ,No ,1,Yes
Female,Rural       ,Dorm               ,No ,None      ,Divorced           ,3.6,Middle,0,60,8,Yes,0,Fairly Important,Agnostic  ,0,0,No      ,Yes,Yes,No      ,127,61,115,63,Overweight ,Lose         ,Yes   ,Opposite gender,Sense of humor ,39,3,25,27,1,3,6,30,Yes,7,Enjoyment     ,No ,No ,6,Yes,Yes,3 or 4,0,No ,Yes,Yes,Yes,7,No 
Female,A small town,Apartment          ,No ,None      ,Other or Don't Know,2.6,Front ,0,0,5,No ,1,Not important   ,Catholic  ,0,3,Yes     ,Yes,Yes,No      ,115,61,105,58,About right,Stay the same,Yes   ,No preference  ,Personality    ,20,3,25,27,2,5,15,120,No ,5.5,Get muscular  ,Yes,No ,5,No ,Yes,5 or 6,3,No ,Yes,No ,Yes,7,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Divorced           ,3.74,Middle,0,0,10,No ,2,Fairly Important,Catholic  ,0,1,Yes     ,Yes,Yes,No      ,103,61,105,61,About right,Stay the same,Yes   ,Opposite gender,Easy to talk to,25,1,28,30,2,1,4,45,No ,7,Weight control,Yes,No ,12,No ,Yes,>8    ,10,No ,Yes,No ,Yes,5,Yes
Female,Suburban    ,Dorm               ,No ,11 to 20  ,Married            ,NA,Middle,0,350,30,No ,1,Fairly Important,Catholic  ,4,5,Yes     ,Yes,Yes,Yes     ,124,61,115,63,About right,Lose         ,Yes   ,No preference  ,Easy to talk to,20,5,26,28,2,3,14,45,Yes,8,Health        ,Yes,No ,6,Yes,Yes,1 or 2,2,No ,Yes,Yes,No ,5,No 
Female,Rural       ,At home            ,No ,1 to 10   ,Married            ,2.7,Back  ,0,350,6,No ,0,Fairly Important,Other     ,0,5,Yes     ,No ,No ,Yes     ,105,61,100,64,About right,Lose         ,Yes   ,No preference  ,Trust          ,8,4,23,24,2,1,0.5,30,No ,7.5,Health        ,No ,No ,8,No ,No ,5 or 6,2,No ,No ,No ,Yes,5,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Divorced           ,2.13,Front ,0,188.6,20,No ,0,Fairly Important,Catholic  ,2,2,Yes     ,Yes,Yes,No      ,115,61,115,63,About right,Stay the same,Yes   ,No preference  ,Personality    ,5,5,26,30,2,1,2.5,30,No ,6,Enjoyment     ,Yes,No ,0,No ,No ,1 or 2,0,No ,No ,No ,No ,4,Yes
Female,Suburban    ,Dorm               ,Yes,None      ,Married            ,3.22,Middle,1,150,8,No ,3,Fairly Important,Jewish    ,0,0,No      ,Yes,No ,Yes     ,105,61,105,64,About right,Nothing      ,Yes   ,No preference  ,Trust          ,15,3,24,26,3,1,4,30,No ,7.5,Health        ,No ,Yes,10,Yes,Yes,1 or 2,7,No ,No ,Yes,Yes,4,No 
Female,Suburban    ,Dorm               ,No ,NA,Married            ,3.47,Middle,1,425,8,No ,5,Not important   ,Atheist   ,0,0,Yes     ,Yes,No ,Yes     ,100,61,90,64,About right,Lose         ,Yes   ,Opposite gender,Sense of humor ,8,1,23,25,2,1,2,30,No ,8,Get muscular  ,Yes,No ,8,No ,No ,7 or 8,1,No ,No ,No ,Yes,4,Yes
Female,Suburban    ,Apartment          ,No ,11 to 20  ,Married            ,3.3,Front ,0,400,20,No ,2,Fairly Important,Other     ,2,4,Yes     ,Yes,No ,Yes     ,115,61,108,65,About right,Lose         ,Yes   ,Opposite gender,Personality    ,12,2,23,24,4,1,5,45,No ,6,Health        ,Yes,No ,6,Yes,Yes,3 or 4,2,No ,Yes,Yes,Yes,3,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Married            ,3,Middle,1,250,18,No ,2,Fairly Important,NA,0,0,NA,Yes,Yes,Not sure,110,61,110,64,About right,Stay the same,NA,Opposite gender,NA,10,3,25,28,3,1,0,0,No ,8,NA,NA,Yes,6,Yes,Yes,3 or 4,5,No ,NA,NA,NA,2,Yes
Female,Rural       ,Apartment          ,No ,11 to 20  ,Divorced           ,3.25,Back  ,0,450,15,No ,0,Very important  ,Other     ,2,5,Yes     ,Yes,Yes,No      ,120,61,110,65,About right,Lose         ,No    ,Opposite gender,Personality    ,5,3,23,23,2,3,2,45,No ,5,Health        ,No ,No ,2,No ,No ,3 or 4,0,No ,No ,No ,Yes,2,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Married            ,3.83,Middle,0,150,6,No ,1,Fairly Important,Jewish    ,0,2,Yes     ,Yes,Yes,Yes     ,120,61,105,64,About right,Lose         ,Yes   ,Opposite gender,Personality    ,6,1,28,28,4,1,2.5,30,No ,8,Health        ,Yes,No ,3,No ,No ,5 or 6,3,No ,No ,Yes,Yes,1,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Divorced           ,3.3,Middle,1,150,10,No ,2,Not important   ,Agnostic  ,0,0,Yes     ,Yes,Yes,No      ,115,61,105,66,About right,Lose         ,No    ,No preference  ,Trust          ,20,1,23,26,2,3,4,60,No ,7,Get muscular  ,Yes,No ,6,No ,Yes,1 or 2,0,No ,No ,Yes,Yes,1,Yes
Female,Suburban    ,Dorm               ,No ,None      ,Married            ,3.45,Back  ,0,450,15,No ,2,Fairly Important,Catholic  ,0,0,No      ,Yes,Yes,Not sure,130,61,105,61,Overweight ,Lose         ,No    ,Same gender    ,Easy to talk to,10,0,24,29,0,2,3,60,No ,8.5,Weight control,Yes,No ,8,No ,No ,3 or 4,2,No ,No ,No ,No ,1,No 
Female,Suburban    ,Apartment          ,No ,None      ,Married            ,2.98,Middle,0,0,18,No ,1,Fairly Important,Other     ,1,5,Yes     ,Yes,Yes,Yes     ,110,61,105,61,About right,Lose         ,Yes   ,No preference  ,Personality    ,10,4,25,29,2,1,12,75,No ,6.5,Reduce stress ,No ,Yes,8,No ,No ,3 or 4,2,No ,No ,Yes,Yes,1,Yes
Female,Suburban    ,Apartment          ,No ,None      ,Married            ,2.87,Back  ,0,400,4,Yes,1,Fairly Important,Catholic  ,0,2,Not sure,No ,No ,Yes     ,132,61,118,65,Overweight ,Lose         ,Unsure,Opposite gender,Personality    ,5,1,26,28,4,1,1,30,No ,8,Weight control,Yes,Yes,10,Yes,No ,7 or 8,10,No ,No ,No ,Yes,1,Yes
Female,A big city  ,Dorm               ,No ,None      ,Divorced           ,2.8,Middle,0,250,5,No ,1,Fairly Important,Catholic  ,0,7,Yes     ,Yes,Yes,No      ,110,61,105,63,About right,Lose         ,Unsure,Opposite gender,Trust          ,3,2,26,28,2,2,7,30,No ,7.5,Get muscular  ,Yes,No ,4,No ,No ,3 or 4,0,No ,No ,No ,Yes,1,Yes
Female,A small town,Dorm               ,No ,NA,Married            ,3.88,Middle,3,500,30,No ,1,Fairly Important,Other     ,0,20,Yes     ,Yes,Yes,Not sure,105,61,95,65,About right,Stay the same,Yes   ,No preference  ,NA,8,1,24,28,1,1,0,45,No ,6,Don't exercise,Yes,No ,8,Yes,No ,3 or 4,1,No ,No ,No ,No ,1,Yes
Female,A big city  ,Dorm               ,No ,1 to 10   ,Divorced           ,2.03,Back  ,0,300,15,No ,0,Not important   ,Atheist   ,0,0,Not sure,Yes,Yes,No      ,110,61,115,65,About right,Gain         ,Yes   ,No preference  ,Looks          ,5,0,28,30,2,2,1.5,15,No ,5,NA,Yes,No ,2,No ,Yes,3 or 4,2,Yes,Yes,No ,Yes,0,Yes
